抓取批次,候选编号,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,质量分,入库状态,建议动作,原文链接,来源列表页
20260502_020427,CAND-66B5FAF61C35,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,转发国家能源局综合司关于做好岁末年初、迎峰度冬期间电力建设工程施工安全工作的通知 2023-12-06,2023-12-06,迎峰度冬,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245937.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_12.html
20260502_020427,CAND-3CFA1E04E81C,SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,国家能源局派出机构,关于公开征求《华东电力调峰辅助服务市场运营规则（修订稿）... 2023-12-11,2023-12-11,运营规则;辅助服务;调峰,HTML,54,低分候选,暂不回填,https://hdj.nea.gov.cn/dtyw/tzgg/202402/t20240209_247776.html,https://hdj.nea.gov.cn/dtyw/tzgg/index_30.html
20260502_020427,CAND-7C4BC69AC93C,SRC-PR-001,省级监管,江苏,国家能源局江苏监管办公室-通知,国家能源局江苏监管办公室,江苏能源监管办关于《江苏电力辅助服务（调频）市场交易规则》公开征求意见的公告 2023-12-29,2023-12-29,交易规则;辅助服务;调频,HTML,54,低分候选,暂不回填,https://jsb.nea.gov.cn/dtyw/tz/202401/t20240116_226941.html,https://jsb.nea.gov.cn/dtyw/tz/index_1.html
20260502_020427,CAND-AAD6B0A6EB1A,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于贯彻落实《国家发展改革委 国家能源局关于建立煤电容量电价机制的通知》的通知（川发改价格〔2024〕24号...,2024-01-19,容量电价,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2024/1/19/22753ed83506404f9cdd02af75e258ca.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_22.shtml
20260502_020427,CAND-36A248099594,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,南方能源监管局加强监管 保障辖区内2024年年度交易顺利完成 2024-01-26,2024-01-26,年度交易,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245958.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_11.html
20260502_020427,CAND-379525B90A3B,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于调整电能替代项目输配电价政策有关事项的通知（川发改价格〔2024〕64号）,2024-02-18,输配电价,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2024/2/18/9e0e711298424a55a800c0c1bb762c88.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_22.shtml
20260502_020427,CAND-512FC95A304E,SRC-MU-008,直辖市,上海,上海市经济和信息化委员会-政策法规,上海市经济和信息化委员会,上海市经济信息化委关于建立上海电力供应环境可持续性关键绩效指标体系的通知 为深入推进我市电力供应绿色低碳高质量发展，我委会同国网上海市电力公司组织相关专家研究形成了《上海电力供应环境可持续性关键绩效指标体系（试行）》，按年统计发布。 2024-02-19,2024-02-19,高质量发展;绿色低碳,HTML,54,低分候选,暂不回填,https://www.sheitc.sh.gov.cn/jjyx/20240219/2439b3f6b6dc4e9c9264b9786751613c.html,https://www.sheitc.sh.gov.cn/zcfg/index_4.html
20260502_020427,CAND-4935182506DB,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于开展四川电力市场2024年保底售电服务有关工作的通知（川发改能源〔2024〕95号）,2024-03-22,电力市场,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/c106096/2024/3/22/8f969784932d4c29a4f1e6d6b1a9e8b6.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_22.shtml
20260502_020427,CAND-07227C177A44,SRC-PR-001,省级监管,江苏,国家能源局江苏监管办公室-通知,国家能源局江苏监管办公室,江苏能源监管办关于开展电网公平开放监管工作的通知 2024-04-09,2024-04-09,电网,HTML,54,低分候选,暂不回填,https://jsb.nea.gov.cn/dtyw/tz/202404/t20240409_260365.html,https://jsb.nea.gov.cn/dtyw/tz/
20260502_020427,CAND-DE37F309270F,SRC-PR-004,省级监管,福建,国家能源局福建监管办公室-通知公告,国家能源局福建监管办公室,福建能源监管办关于印发《福建发电机组进入及退出商业运营管理实施细则（试行）》... 2024-04-10,2024-04-10,实施细则,HTML,54,低分候选,暂不回填,https://fjb.nea.gov.cn/dtyw/tzgg/202404/t20240410_260462.html,https://fjb.nea.gov.cn/dtyw/tzgg/index_8.html
20260502_020427,CAND-21876841644F,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于明确四川电力市场2024年保底售电公司的通知（川发改能源〔2024〕135号）,2024-04-26,电力市场,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2024/4/26/e3c95a8153df4d388d0050aa9dfdeb3f.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_20.shtml
20260502_020427,CAND-0CD21CE7C178,SRC-MU-005,直辖市,天津,天津市工业和信息化局-委局文件,天津市工业和信息化局,市工业和信息化局关于调整天津市电力市场管理委员会组建方案的通知2024-05-06,2024-05-06,电力市场,HTML,54,低分候选,暂不回填,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/202405/t20240506_6617695.html,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/index_6.html
20260502_020427,CAND-C735F315E718,SRC-PR-003,省级监管,浙江,国家能源局浙江监管办公室-通知公告,国家能源局浙江监管办公室,关于征求2024年浙江省绿色电力交易合同示范文本意见的函 2024-05-24,2024-05-24,电力交易,PDF,54,低分候选,暂不回填,https://zjb.nea.gov.cn/dtyw/tzgg/202405/P020240524630635108190.pdf,https://zjb.nea.gov.cn/dtyw/tzgg/index_3.html
20260502_020427,CAND-398A8F3A0AC1,SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,国家能源局派出机构,华东能源监管局关于印发《长三角省市间富余新能源消纳互济交... 2024-06-14,2024-06-14,新能源消纳,HTML,54,低分候选,暂不回填,https://hdj.nea.gov.cn/dtyw/tzgg/202406/t20240625_265070.html,https://hdj.nea.gov.cn/dtyw/tzgg/index_24.html
20260502_020427,CAND-2C0C3C0C103A,SRC-PR-006,省级监管,贵州,国家能源局贵州监管办公室-通知公告,国家能源局贵州监管办公室,关于征求《贵州电力爬坡辅助服务市场交易规则（征求意见稿）》意见的函 2024-08-30,2024-08-30,交易规则;辅助服务,HTML,54,低分候选,暂不回填,https://gzb.nea.gov.cn/dtyw/tzgg/202408/t20240830_268668.html,https://gzb.nea.gov.cn/dtyw/tzgg/index_11.html
20260502_020427,CAND-3782E621A45D,SRC-PR-005,省级监管,四川,国家能源局四川监管办公室-通知公告,国家能源局四川监管办公室,关于公开征求《四川电力中长期交易规则（2024年修订版征求意见稿）》意见的通知 2024-11-08,2024-11-08,交易规则;中长期,PDF,54,低分候选,暂不回填,https://scb.nea.gov.cn/dtyw/tzgg/202411/P020241108651338855917.pdf,https://scb.nea.gov.cn/dtyw/tzgg/index_9.html
20260502_020427,CAND-213A96461EA4,SRC-PR-004,省级监管,福建,国家能源局福建监管办公室-通知公告,国家能源局福建监管办公室,福建能源监管办关于转发《国家能源局综合司关于进一步规范电力市场交易行为有关事... 2024-11-14,2024-11-14,电力市场,HTML,54,低分候选,暂不回填,https://fjb.nea.gov.cn/dtyw/tzgg/202411/t20241114_272323.html,https://fjb.nea.gov.cn/dtyw/tzgg/index_5.html
20260502_020427,CAND-6FC6C13C0FD7,SRC-R-006,区域监管,西北区域,国家能源局西北监管局-通知公告,国家能源局派出机构,国家能源局西北监管局关于公开征求 《陕西电力调频辅助服务市场实施细则（暂行）（... 2024-12-10,2024-12-10,实施细则;辅助服务;调频,HTML,54,低分候选,暂不回填,https://xbj.nea.gov.cn/dtyw/tzgg/202412/t20241210_273718.html,https://xbj.nea.gov.cn/dtyw/tzgg/index_10.html
20260502_020427,CAND-7073345A1D6C,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于印发《四川省新型储能电站安全管理工作导则（暂行）》的通知（川发改能源〔2025〕63号）,2025-02-20,新型储能,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2025/2/20/e9aa1978982a444a9b72afb3ee856872.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_13.shtml
20260502_020427,CAND-2286F2BB21E4,SRC-PR-004,省级监管,福建,国家能源局福建监管办公室-通知公告,国家能源局福建监管办公室,《福建电力市场运行基本规则》（2025年修订版）解读 2025-02-28,2025-02-28,电力市场,HTML,54,低分候选,暂不回填,https://fjb.nea.gov.cn/dtyw/tzgg/202502/t20250228_277284.html,https://fjb.nea.gov.cn/dtyw/tzgg/index_4.html
20260502_020427,CAND-44761768636B,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于进一步完善新型储能价格机制的通知(川发改价格〔2025〕14号),2025-03-07,新型储能,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2025/3/7/6cc70ce84eb64e40b0bc543f715f9861.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_13.shtml
20260502_020427,CAND-122E90EF73E0,SRC-P-036,省级,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,四川省能源局关于组织智能电网国家科技重大专项2025年度公开项目申报工作的通知,2025-04-16,电网;智能电网,HTML,54,低分候选,暂不回填,https://fgw.sc.gov.cn/sfgw/tzgg/2025/4/16/752cc489ce4046adb6f432cbff8a8c1e.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_10.shtml
